타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,20,1,7,6,6,6
m,20,1,8,11,11,11
m,20,1,9,5,5,5
m,20,1,10,5,5,5
m,20,1,11,5,5,5
m,20,1,12,4,4,4
m,20,1,13,3,3,3
m,20,1,14,8,8,8
m,20,1,15,11,11,11
m,20,1,16,5,5,5
m,20,1,17,5,5,5
m,20,1,18,6,6,6
m,20,1,19,17,17,17
m,20,1,20,2477,2477,2477
m,20,2,1,5,5,5
m,20,2,2,1,1,1
m,20,2,3,11,11,11
m,20,2,4,7,7,7
m,20,2,5,3,3,3
m,20,2,6,7,7,7
m,20,2,7,10,10,10
m,20,2,8,10,10,10
m,20,2,9,3,3,3
m,20,2,10,6,6,6
m,20,2,11,10,10,10
m,20,2,12,3,3,3
m,20,2,13,8,8,8
m,20,2,14,5,5,5
m,20,2,15,5,5,5
m,20,2,16,8,8,8
m,20,2,17,5,5,5
m,20,2,18,4,4,4
m,20,2,19,35,35,35
m,20,2,20,2394,2394,2394
m,20,3,1,3,3,3
m,20,3,2,2,2,2
m,20,3,3,10,10,10
m,20,3,4,11,11,11
m,20,3,5,2,2,2
m,20,3,6,5,5,5
m,20,3,7,9,9,9
m,20,3,8,17,17,17
m,20,3,9,6,6,6
m,20,3,10,4,4,4
m,20,3,11,7,7,7
m,20,3,12,8,8,8
m,20,3,13,8,8,8
m,20,3,14,3,3,3
m,20,3,15,8,8,8
m,20,3,16,5,5,5
m,20,3,17,6,6,6
m,20,3,18,7,7,7
m,20,3,19,36,36,36
m,20,3,20,2272,2272,2272
m,20,4,1,3,3,3
m,20,4,2,3,3,3
m,20,4,3,10,10,10
m,20,4,4,16,16,16
m,20,4,5,4,4,4
m,20,4,6,6,6,6
m,20,4,7,16,16,16
m,20,4,8,18,18,18
m,20,4,9,10,10,10
m,20,4,10,5,5,5
m,20,4,11,10,10,10
m,20,4,12,6,6,6
m,20,4,13,11,11,11
m,20,4,14,5,5,5
m,20,4,15,11,11,11
m,20,4,16,12,12,12
m,20,4,17,8,8,8
m,20,4,18,15,15,15
m,20,4,19,42,42,42
m,20,4,20,2329,2329,2329
m,20,5,1,2,2,2
m,20,5,2,2,2,2
m,20,5,3,6,6,6
m,20,5,4,11,11,11
m,20,5,5,6,6,6
m,20,5,6,11,11,11
m,20,5,7,8,8,8
m,20,5,8,6,6,6
m,20,5,9,6,6,6
m,20,5,10,8,8,8
m,20,5,11,9,9,9
m,20,5,12,6,6,6
m,20,5,13,9,9,9
m,20,5,14,12,12,12
m,20,5,15,6,6,6
m,20,5,16,8,8,8
m,20,5,17,9,9,9
m,20,5,18,10,10,10
m,20,5,19,56,56,56
m,20,5,20,2263,2263,2263
