type,sequence len,errors,corrects,0
m,10,0,10.0,97
m,10,1,9.0,1
m,10,1,10.0,131
m,10,2,2.0,1
m,10,2,5.0,1
m,10,2,7.0,2
m,10,2,9.0,2
m,10,2,10.0,120
m,10,3,1.0,1
m,10,3,2.0,1
m,10,3,3.0,1
m,10,3,4.0,1
m,10,3,6.0,2
m,10,3,7.0,1
m,10,3,8.0,1
m,10,3,9.0,4
m,10,3,10.0,136
m,10,4,2.0,1
m,10,4,5.0,1
m,10,4,6.0,2
m,10,4,7.0,1
m,10,4,8.0,2
m,10,4,9.0,3
m,10,4,10.0,127
m,15,0,5.0,1
m,15,0,6.0,1
m,15,0,7.0,2
m,15,0,8.0,1
m,15,0,13.0,1
m,15,0,14.0,2
m,15,0,15.0,116
m,15,1,4.0,2
m,15,1,6.0,1
m,15,1,9.0,1
m,15,1,10.0,1
m,15,1,11.0,2
m,15,1,14.0,1
m,15,1,15.0,121
m,15,2,1.0,1
m,15,2,2.0,1
m,15,2,3.0,1
m,15,2,7.0,1
m,15,2,11.0,1
m,15,2,13.0,1
m,15,2,14.0,2
m,15,2,15.0,119
m,15,3,5.0,1
m,15,3,8.0,1
m,15,3,10.0,1
m,15,3,11.0,1
m,15,3,12.0,1
m,15,3,13.0,1
m,15,3,15.0,112
m,15,4,3.0,1
m,15,4,7.0,2
m,15,4,9.0,1
m,15,4,10.0,1
m,15,4,14.0,4
m,15,4,15.0,108
m,15,5,2.0,2
m,15,5,3.0,3
m,15,5,6.0,1
m,15,5,7.0,2
m,15,5,11.0,1
m,15,5,12.0,1
m,15,5,14.0,3
m,15,5,15.0,111
m,15,6,2.0,1
m,15,6,3.0,1
m,15,6,6.0,1
m,15,6,8.0,1
m,15,6,11.0,1
m,15,6,13.0,1
m,15,6,14.0,3
m,15,6,15.0,129
m,20,0,3.0,1
m,20,0,8.0,2
m,20,0,9.0,1
m,20,0,20.0,124
m,20,1,4.0,2
m,20,1,5.0,1
m,20,1,10.0,1
m,20,1,14.0,2
m,20,1,18.0,1
m,20,1,19.0,1
m,20,1,20.0,122
m,20,2,1.0,1
m,20,2,3.0,1
m,20,2,7.0,2
m,20,2,11.0,1
m,20,2,13.0,1
m,20,2,18.0,1
m,20,2,19.0,4
m,20,2,20.0,115
m,20,3,3.0,1
m,20,3,11.0,1
m,20,3,12.0,1
m,20,3,15.0,3
m,20,3,17.0,1
m,20,3,19.0,6
m,20,3,20.0,108
m,20,4,3.0,2
m,20,4,4.0,2
m,20,4,7.0,2
m,20,4,12.0,1
m,20,4,14.0,1
m,20,4,17.0,2
m,20,4,18.0,1
m,20,4,20.0,106
m,20,5,6.0,1
m,20,5,10.0,1
m,20,5,13.0,1
m,20,5,14.0,2
m,20,5,15.0,1
m,20,5,18.0,1
m,20,5,20.0,114
m,20,6,4.0,1
m,20,6,5.0,2
m,20,6,7.0,1
m,20,6,8.0,2
m,20,6,10.0,1
m,20,6,11.0,1
m,20,6,12.0,1
m,20,6,15.0,2
m,20,6,18.0,3
m,20,6,19.0,2
m,20,6,20.0,109
m,20,7,4.0,1
m,20,7,5.0,1
m,20,7,8.0,1
m,20,7,11.0,1
m,20,7,13.0,2
m,20,7,14.0,1
m,20,7,15.0,1
m,20,7,16.0,1
m,20,7,19.0,3
m,20,7,20.0,117
m,20,8,3.0,1
m,20,8,11.0,2
m,20,8,12.0,1
m,20,8,17.0,2
m,20,8,18.0,2
m,20,8,19.0,5
m,20,8,20.0,107
m,25,0,7.0,1
m,25,0,10.0,1
m,25,0,13.0,1
m,25,0,14.0,1
m,25,0,16.0,1
m,25,0,23.0,1
m,25,0,25.0,120
m,25,1,9.0,1
m,25,1,10.0,1
m,25,1,11.0,1
m,25,1,13.0,1
m,25,1,14.0,1
m,25,1,19.0,1
m,25,1,20.0,2
m,25,1,25.0,103
m,25,10,1.0,1
m,25,10,6.0,1
m,25,10,10.0,1
m,25,10,11.0,1
m,25,10,13.0,1
m,25,10,20.0,3
m,25,10,23.0,3
m,25,10,24.0,12
m,25,10,25.0,77
m,25,2,2.0,1
m,25,2,9.0,1
m,25,2,11.0,1
m,25,2,13.0,1
m,25,2,14.0,1
m,25,2,21.0,1
m,25,2,24.0,1
m,25,2,25.0,129
m,25,3,7.0,1
m,25,3,8.0,1
m,25,3,9.0,1
m,25,3,12.0,1
m,25,3,15.0,1
m,25,3,16.0,1
m,25,3,19.0,1
m,25,3,23.0,1
m,25,3,24.0,3
m,25,3,25.0,124
m,25,4,3.0,1
m,25,4,8.0,1
m,25,4,9.0,1
m,25,4,10.0,2
m,25,4,11.0,1
m,25,4,12.0,1
m,25,4,13.0,2
m,25,4,18.0,1
m,25,4,20.0,1
m,25,4,22.0,1
m,25,4,25.0,93
m,25,5,1.0,1
m,25,5,9.0,1
m,25,5,12.0,1
m,25,5,13.0,2
m,25,5,16.0,1
m,25,5,17.0,1
m,25,5,22.0,1
m,25,5,24.0,2
m,25,5,25.0,99
m,25,6,2.0,1
m,25,6,17.0,2
m,25,6,21.0,1
m,25,6,24.0,3
m,25,6,25.0,123
m,25,7,3.0,2
m,25,7,8.0,1
m,25,7,14.0,1
m,25,7,15.0,1
m,25,7,16.0,1
m,25,7,18.0,1
m,25,7,24.0,2
m,25,7,25.0,106
m,25,8,3.0,1
m,25,8,5.0,1
m,25,8,8.0,1
m,25,8,11.0,1
m,25,8,17.0,1
m,25,8,19.0,1
m,25,8,20.0,1
m,25,8,21.0,1
m,25,8,22.0,1
m,25,8,24.0,3
m,25,8,25.0,108
m,25,9,6.0,1
m,25,9,9.0,1
m,25,9,16.0,1
m,25,9,18.0,1
m,25,9,19.0,1
m,25,9,20.0,1
m,25,9,21.0,1
m,25,9,22.0,2
m,25,9,23.0,1
m,25,9,24.0,3
m,25,9,25.0,97
m,30,0,11.0,1
m,30,0,13.0,2
m,30,0,14.0,1
m,30,0,20.0,1
m,30,0,28.0,1
m,30,0,30.0,99
m,30,1,1.0,1
m,30,1,4.0,2
m,30,1,14.0,2
m,30,1,20.0,1
m,30,1,23.0,1
m,30,1,24.0,2
m,30,1,25.0,1
m,30,1,30.0,114
m,30,10,2.0,1
m,30,10,8.0,1
m,30,10,15.0,1
m,30,10,17.0,2
m,30,10,24.0,1
m,30,10,26.0,1
m,30,10,27.0,1
m,30,10,28.0,1
m,30,10,29.0,3
m,30,10,30.0,117
m,30,11,1.0,1
m,30,11,2.0,1
m,30,11,3.0,1
m,30,11,4.0,2
m,30,11,16.0,1
m,30,11,20.0,1
m,30,11,22.0,1
m,30,11,23.0,1
m,30,11,29.0,7
m,30,11,30.0,84
m,30,12,2.0,3
m,30,12,4.0,1
m,30,12,7.0,2
m,30,12,10.0,1
m,30,12,13.0,1
m,30,12,16.0,1
m,30,12,18.0,2
m,30,12,25.0,1
m,30,12,28.0,2
m,30,12,29.0,6
m,30,12,30.0,91
m,30,2,2.0,1
m,30,2,9.0,1
m,30,2,11.0,1
m,30,2,16.0,2
m,30,2,25.0,1
m,30,2,26.0,1
m,30,2,30.0,108
m,30,3,10.0,2
m,30,3,13.0,1
m,30,3,19.0,1
m,30,3,21.0,1
m,30,3,22.0,1
m,30,3,23.0,2
m,30,3,29.0,1
m,30,3,30.0,134
m,30,4,2.0,1
m,30,4,3.0,1
m,30,4,4.0,1
m,30,4,6.0,1
m,30,4,7.0,1
m,30,4,11.0,3
m,30,4,12.0,1
m,30,4,28.0,1
m,30,4,29.0,1
m,30,4,30.0,108
m,30,5,3.0,1
m,30,5,5.0,1
m,30,5,9.0,3
m,30,5,11.0,1
m,30,5,19.0,1
m,30,5,20.0,2
m,30,5,23.0,1
m,30,5,26.0,1
m,30,5,28.0,1
m,30,5,29.0,3
m,30,5,30.0,105
m,30,6,3.0,2
m,30,6,7.0,1
m,30,6,8.0,1
m,30,6,9.0,3
m,30,6,12.0,1
m,30,6,14.0,1
m,30,6,15.0,1
m,30,6,16.0,1
m,30,6,19.0,1
m,30,6,23.0,3
m,30,6,24.0,1
m,30,6,26.0,1
m,30,6,27.0,2
m,30,6,28.0,2
m,30,6,29.0,4
m,30,6,30.0,109
m,30,7,1.0,1
m,30,7,2.0,1
m,30,7,14.0,1
m,30,7,18.0,1
m,30,7,22.0,1
m,30,7,24.0,1
m,30,7,26.0,1
m,30,7,28.0,1
m,30,7,29.0,1
m,30,7,30.0,101
m,30,8,3.0,3
m,30,8,8.0,1
m,30,8,9.0,3
m,30,8,12.0,1
m,30,8,18.0,1
m,30,8,22.0,1
m,30,8,25.0,2
m,30,8,29.0,5
m,30,8,30.0,127
m,30,9,10.0,1
m,30,9,14.0,1
m,30,9,15.0,1
m,30,9,21.0,1
m,30,9,27.0,1
m,30,9,29.0,2
m,30,9,30.0,132
m,35,0,8.0,2
m,35,0,10.0,1
m,35,0,15.0,1
m,35,0,16.0,1
m,35,0,17.0,2
m,35,0,24.0,1
m,35,0,26.0,1
m,35,0,28.0,1
m,35,0,31.0,1
m,35,0,34.0,2
m,35,0,35.0,120
m,35,1,2.0,1
m,35,1,9.0,1
m,35,1,10.0,1
m,35,1,11.0,1
m,35,1,17.0,2
m,35,1,21.0,1
m,35,1,27.0,2
m,35,1,30.0,1
m,35,1,32.0,1
m,35,1,33.0,1
m,35,1,35.0,109
m,35,10,4.0,1
m,35,10,7.0,1
m,35,10,8.0,1
m,35,10,9.0,1
m,35,10,14.0,1
m,35,10,20.0,1
m,35,10,24.0,1
m,35,10,27.0,1
m,35,10,34.0,5
m,35,10,35.0,105
m,35,11,2.0,1
m,35,11,6.0,1
m,35,11,7.0,1
m,35,11,8.0,1
m,35,11,11.0,1
m,35,11,14.0,1
m,35,11,15.0,1
m,35,11,18.0,1
m,35,11,22.0,2
m,35,11,23.0,2
m,35,11,26.0,1
m,35,11,33.0,1
m,35,11,34.0,5
m,35,11,35.0,119
m,35,12,4.0,3
m,35,12,9.0,2
m,35,12,11.0,1
m,35,12,15.0,2
m,35,12,20.0,1
m,35,12,23.0,1
m,35,12,31.0,1
m,35,12,32.0,2
m,35,12,34.0,5
m,35,12,35.0,116
m,35,13,4.0,1
m,35,13,11.0,1
m,35,13,19.0,2
m,35,13,27.0,1
m,35,13,33.0,2
m,35,13,34.0,4
m,35,13,35.0,112
m,35,14,1.0,1
m,35,14,5.0,1
m,35,14,6.0,1
m,35,14,11.0,1
m,35,14,14.0,2
m,35,14,15.0,1
m,35,14,17.0,2
m,35,14,18.0,1
m,35,14,20.0,1
m,35,14,23.0,1
m,35,14,24.0,2
m,35,14,25.0,2
m,35,14,33.0,1
m,35,14,34.0,6
m,35,14,35.0,109
m,35,2,7.0,1
m,35,2,13.0,1
m,35,2,18.0,1
m,35,2,31.0,1
m,35,2,34.0,1
m,35,2,35.0,99
m,35,3,5.0,1
m,35,3,9.0,1
m,35,3,11.0,2
m,35,3,13.0,1
m,35,3,17.0,1
m,35,3,22.0,1
m,35,3,24.0,1
m,35,3,27.0,1
m,35,3,34.0,1
m,35,3,35.0,114
m,35,4,8.0,1
m,35,4,10.0,1
m,35,4,12.0,1
m,35,4,21.0,1
m,35,4,25.0,1
m,35,4,27.0,1
m,35,4,29.0,1
m,35,4,30.0,1
m,35,4,33.0,1
m,35,4,34.0,1
m,35,4,35.0,129
m,35,5,12.0,1
m,35,5,16.0,1
m,35,5,34.0,2
m,35,5,35.0,128
m,35,6,2.0,1
m,35,6,4.0,1
m,35,6,8.0,1
m,35,6,10.0,1
m,35,6,14.0,1
m,35,6,19.0,1
m,35,6,21.0,1
m,35,6,23.0,1
m,35,6,25.0,1
m,35,6,34.0,1
m,35,6,35.0,116
m,35,7,6.0,1
m,35,7,8.0,1
m,35,7,11.0,1
m,35,7,17.0,1
m,35,7,27.0,1
m,35,7,28.0,1
m,35,7,30.0,2
m,35,7,34.0,3
m,35,7,35.0,132
m,35,8,4.0,1
m,35,8,8.0,1
m,35,8,9.0,1
m,35,8,11.0,2
m,35,8,14.0,1
m,35,8,15.0,2
m,35,8,19.0,1
m,35,8,22.0,1
m,35,8,30.0,2
m,35,8,32.0,1
m,35,8,34.0,3
m,35,8,35.0,121
m,35,9,2.0,1
m,35,9,4.0,2
m,35,9,9.0,1
m,35,9,11.0,1
m,35,9,15.0,1
m,35,9,17.0,1
m,35,9,19.0,1
m,35,9,21.0,1
m,35,9,22.0,1
m,35,9,23.0,2
m,35,9,27.0,2
m,35,9,28.0,1
m,35,9,31.0,1
m,35,9,33.0,2
m,35,9,34.0,2
m,35,9,35.0,114
m,40,0,5.0,1
m,40,0,12.0,1
m,40,0,15.0,2
m,40,0,16.0,1
m,40,0,18.0,1
m,40,0,24.0,2
m,40,0,26.0,1
m,40,0,29.0,1
m,40,0,32.0,2
m,40,0,39.0,118
m,40,1,4.0,1
m,40,1,5.0,1
m,40,1,6.0,1
m,40,1,13.0,1
m,40,1,16.0,1
m,40,1,20.0,1
m,40,1,21.0,1
m,40,1,23.0,1
m,40,1,28.0,1
m,40,1,29.0,1
m,40,1,38.0,2
m,40,1,39.0,110
m,40,10,7.0,1
m,40,10,9.0,1
m,40,10,11.0,1
m,40,10,13.0,1
m,40,10,15.0,1
m,40,10,21.0,2
m,40,10,28.0,1
m,40,10,32.0,3
m,40,10,38.0,3
m,40,10,39.0,114
m,40,11,4.0,1
m,40,11,5.0,3
m,40,11,9.0,1
m,40,11,14.0,1
m,40,11,15.0,1
m,40,11,17.0,1
m,40,11,18.0,2
m,40,11,19.0,1
m,40,11,20.0,1
m,40,11,24.0,1
m,40,11,34.0,1
m,40,11,36.0,1
m,40,11,37.0,1
m,40,11,38.0,3
m,40,11,39.0,101
m,40,12,3.0,1
m,40,12,5.0,1
m,40,12,9.0,1
m,40,12,18.0,3
m,40,12,19.0,1
m,40,12,24.0,1
m,40,12,25.0,1
m,40,12,26.0,1
m,40,12,35.0,1
m,40,12,37.0,1
m,40,12,38.0,7
m,40,12,39.0,100
m,40,13,4.0,1
m,40,13,5.0,2
m,40,13,6.0,1
m,40,13,8.0,1
m,40,13,9.0,2
m,40,13,13.0,1
m,40,13,15.0,1
m,40,13,17.0,1
m,40,13,19.0,1
m,40,13,25.0,1
m,40,13,29.0,2
m,40,13,32.0,1
m,40,13,34.0,1
m,40,13,36.0,1
m,40,13,38.0,5
m,40,13,39.0,114
m,40,14,1.0,1
m,40,14,7.0,1
m,40,14,8.0,1
m,40,14,10.0,1
m,40,14,11.0,1
m,40,14,12.0,1
m,40,14,16.0,2
m,40,14,17.0,1
m,40,14,18.0,1
m,40,14,19.0,2
m,40,14,22.0,1
m,40,14,24.0,1
m,40,14,26.0,1
m,40,14,29.0,1
m,40,14,30.0,1
m,40,14,34.0,3
m,40,14,37.0,1
