type,sequence len,errors,corrects,0
m,10,0,4.0,1
m,10,0,10.0,116
m,10,1,6.0,1
m,10,1,7.0,1
m,10,1,10.0,118
m,10,2,3.0,1
m,10,2,7.0,1
m,10,2,9.0,1
m,10,2,10.0,123
m,10,3,2.0,1
m,10,3,6.0,2
m,10,3,7.0,1
m,10,3,8.0,1
m,10,3,9.0,1
m,10,3,10.0,120
m,10,4,1.0,2
m,10,4,2.0,1
m,10,4,3.0,3
m,10,4,4.0,1
m,10,4,7.0,2
m,10,4,8.0,3
m,10,4,9.0,4
m,10,4,10.0,87
m,15,0,1.0,1
m,15,0,4.0,1
m,15,0,6.0,1
m,15,0,10.0,1
m,15,0,15.0,131
m,15,1,5.0,1
m,15,1,6.0,1
m,15,1,11.0,1
m,15,1,12.0,1
m,15,1,14.0,1
m,15,1,15.0,129
m,15,2,5.0,2
m,15,2,9.0,1
m,15,2,12.0,1
m,15,2,13.0,1
m,15,2,15.0,132
m,15,3,1.0,1
m,15,3,3.0,1
m,15,3,7.0,1
m,15,3,10.0,2
m,15,3,14.0,3
m,15,3,15.0,112
m,15,4,3.0,1
m,15,4,7.0,1
m,15,4,9.0,1
m,15,4,13.0,1
m,15,4,14.0,4
m,15,4,15.0,130
m,15,5,4.0,1
m,15,5,8.0,1
m,15,5,10.0,1
m,15,5,12.0,1
m,15,5,13.0,2
m,15,5,14.0,3
m,15,5,15.0,114
m,15,6,4.0,1
m,15,6,5.0,2
m,15,6,7.0,1
m,15,6,10.0,1
m,15,6,12.0,1
m,15,6,13.0,1
m,15,6,14.0,4
m,15,6,15.0,116
m,20,0,7.0,1
m,20,0,10.0,1
m,20,0,14.0,1
m,20,0,18.0,1
m,20,0,20.0,125
m,20,1,1.0,1
m,20,1,15.0,1
m,20,1,17.0,1
m,20,1,18.0,1
m,20,1,19.0,1
m,20,1,20.0,110
m,20,2,3.0,2
m,20,2,6.0,2
m,20,2,7.0,1
m,20,2,11.0,1
m,20,2,15.0,1
m,20,2,19.0,2
m,20,2,20.0,130
m,20,3,4.0,1
m,20,3,9.0,1
m,20,3,13.0,1
m,20,3,15.0,1
m,20,3,16.0,1
m,20,3,19.0,2
m,20,3,20.0,103
m,20,4,3.0,2
m,20,4,6.0,1
m,20,4,9.0,2
m,20,4,15.0,1
m,20,4,16.0,2
m,20,4,18.0,2
m,20,4,19.0,2
m,20,4,20.0,125
m,20,5,4.0,1
m,20,5,5.0,1
m,20,5,12.0,1
m,20,5,14.0,1
m,20,5,19.0,2
m,20,5,20.0,104
m,20,6,2.0,1
m,20,6,3.0,1
m,20,6,4.0,1
m,20,6,9.0,1
m,20,6,10.0,1
m,20,6,16.0,1
m,20,6,18.0,1
m,20,6,19.0,2
m,20,6,20.0,115
m,20,7,1.0,1
m,20,7,2.0,1
m,20,7,4.0,2
m,20,7,5.0,1
m,20,7,7.0,2
m,20,7,10.0,1
m,20,7,12.0,1
m,20,7,14.0,1
m,20,7,16.0,1
m,20,7,17.0,1
m,20,7,19.0,2
m,20,7,20.0,121
m,20,8,16.0,2
m,20,8,18.0,1
m,20,8,19.0,5
m,20,8,20.0,116
m,25,0,3.0,2
m,25,0,4.0,2
m,25,0,5.0,1
m,25,0,8.0,1
m,25,0,14.0,2
m,25,0,24.0,1
m,25,0,25.0,117
m,25,1,5.0,1
m,25,1,7.0,1
m,25,1,10.0,1
m,25,1,14.0,1
m,25,1,15.0,1
m,25,1,16.0,1
m,25,1,25.0,90
m,25,10,3.0,1
m,25,10,7.0,1
m,25,10,9.0,2
m,25,10,10.0,1
m,25,10,11.0,1
m,25,10,13.0,2
m,25,10,14.0,2
m,25,10,15.0,1
m,25,10,17.0,1
m,25,10,24.0,4
m,25,10,25.0,102
m,25,2,3.0,1
m,25,2,4.0,1
m,25,2,7.0,1
m,25,2,8.0,1
m,25,2,9.0,1
m,25,2,13.0,1
m,25,2,18.0,1
m,25,2,24.0,1
m,25,2,25.0,124
m,25,3,1.0,1
m,25,3,3.0,1
m,25,3,7.0,1
m,25,3,8.0,2
m,25,3,9.0,1
m,25,3,11.0,1
m,25,3,13.0,1
m,25,3,20.0,1
m,25,3,23.0,1
m,25,3,24.0,2
m,25,3,25.0,131
m,25,4,10.0,1
m,25,4,14.0,1
m,25,4,19.0,2
m,25,4,20.0,1
m,25,4,23.0,2
m,25,4,24.0,3
m,25,4,25.0,113
m,25,5,4.0,1
m,25,5,7.0,1
m,25,5,13.0,1
m,25,5,14.0,1
m,25,5,20.0,1
m,25,5,23.0,1
m,25,5,24.0,2
m,25,5,25.0,113
m,25,6,7.0,1
m,25,6,8.0,2
m,25,6,11.0,1
m,25,6,14.0,1
m,25,6,19.0,3
m,25,6,24.0,2
m,25,6,25.0,99
m,25,7,3.0,1
m,25,7,4.0,1
m,25,7,10.0,1
m,25,7,11.0,1
m,25,7,12.0,1
m,25,7,13.0,1
m,25,7,22.0,1
m,25,7,23.0,2
m,25,7,24.0,3
m,25,7,25.0,105
m,25,8,8.0,1
m,25,8,9.0,1
m,25,8,10.0,1
m,25,8,13.0,2
m,25,8,17.0,1
m,25,8,22.0,1
m,25,8,23.0,1
m,25,8,24.0,4
m,25,8,25.0,121
m,25,9,1.0,1
m,25,9,2.0,2
m,25,9,7.0,1
m,25,9,11.0,1
m,25,9,12.0,1
m,25,9,17.0,1
m,25,9,20.0,2
m,25,9,23.0,2
m,25,9,24.0,7
m,25,9,25.0,105
m,30,0,8.0,1
m,30,0,22.0,1
m,30,0,26.0,1
m,30,0,27.0,2
m,30,0,28.0,1
m,30,0,30.0,106
m,30,1,1.0,1
m,30,1,4.0,1
m,30,1,8.0,2
m,30,1,13.0,1
m,30,1,14.0,1
m,30,1,16.0,1
m,30,1,25.0,2
m,30,1,29.0,1
m,30,1,30.0,116
m,30,10,2.0,1
m,30,10,13.0,2
m,30,10,14.0,1
m,30,10,19.0,1
m,30,10,20.0,1
m,30,10,21.0,1
m,30,10,22.0,1
m,30,10,24.0,1
m,30,10,25.0,1
m,30,10,26.0,1
m,30,10,28.0,3
m,30,10,29.0,4
m,30,10,30.0,103
m,30,11,1.0,1
m,30,11,4.0,1
m,30,11,5.0,1
m,30,11,7.0,1
m,30,11,13.0,1
m,30,11,14.0,1
m,30,11,15.0,1
m,30,11,20.0,2
m,30,11,23.0,1
m,30,11,25.0,1
m,30,11,27.0,1
m,30,11,28.0,1
m,30,11,29.0,6
m,30,11,30.0,121
m,30,12,1.0,1
m,30,12,3.0,1
m,30,12,4.0,1
m,30,12,6.0,1
m,30,12,15.0,1
m,30,12,16.0,1
m,30,12,19.0,2
m,30,12,20.0,1
m,30,12,21.0,1
m,30,12,22.0,1
m,30,12,23.0,1
m,30,12,25.0,1
m,30,12,27.0,1
m,30,12,29.0,6
m,30,12,30.0,100
m,30,2,4.0,1
m,30,2,8.0,2
m,30,2,11.0,1
m,30,2,18.0,2
m,30,2,20.0,1
m,30,2,26.0,1
m,30,2,29.0,2
m,30,2,30.0,112
m,30,3,5.0,1
m,30,3,9.0,1
m,30,3,12.0,2
m,30,3,13.0,1
m,30,3,14.0,1
m,30,3,17.0,3
m,30,3,24.0,1
m,30,3,25.0,1
m,30,3,29.0,2
m,30,3,30.0,104
m,30,4,4.0,1
m,30,4,7.0,2
m,30,4,8.0,1
m,30,4,20.0,1
m,30,4,21.0,1
m,30,4,23.0,1
m,30,4,29.0,4
m,30,4,30.0,119
m,30,5,7.0,1
m,30,5,8.0,1
m,30,5,10.0,1
m,30,5,13.0,1
m,30,5,16.0,1
m,30,5,17.0,1
m,30,5,20.0,1
m,30,5,29.0,2
m,30,5,30.0,118
m,30,6,4.0,1
m,30,6,8.0,1
m,30,6,10.0,1
m,30,6,12.0,1
m,30,6,13.0,1
m,30,6,26.0,1
m,30,6,28.0,1
m,30,6,29.0,2
m,30,6,30.0,99
m,30,7,1.0,1
m,30,7,3.0,1
m,30,7,6.0,2
m,30,7,9.0,1
m,30,7,11.0,2
m,30,7,14.0,1
m,30,7,21.0,1
m,30,7,26.0,1
m,30,7,28.0,1
m,30,7,29.0,4
m,30,7,30.0,100
m,30,8,6.0,1
m,30,8,11.0,1
m,30,8,14.0,2
m,30,8,17.0,2
m,30,8,21.0,1
m,30,8,23.0,1
m,30,8,25.0,1
m,30,8,26.0,1
m,30,8,27.0,1
m,30,8,29.0,2
m,30,8,30.0,95
m,30,9,2.0,2
m,30,9,4.0,1
m,30,9,7.0,1
m,30,9,12.0,2
m,30,9,15.0,1
m,30,9,16.0,1
m,30,9,17.0,1
m,30,9,25.0,1
m,30,9,26.0,1
m,30,9,27.0,1
m,30,9,28.0,1
m,30,9,29.0,3
m,30,9,30.0,114
m,35,0,2.0,1
m,35,0,5.0,1
m,35,0,8.0,1
m,35,0,9.0,1
m,35,0,13.0,1
m,35,0,17.0,2
m,35,0,26.0,1
m,35,0,32.0,1
m,35,0,35.0,99
m,35,1,3.0,1
m,35,1,4.0,2
m,35,1,5.0,2
m,35,1,7.0,1
m,35,1,10.0,1
m,35,1,15.0,2
m,35,1,16.0,1
m,35,1,22.0,1
m,35,1,27.0,1
m,35,1,32.0,1
m,35,1,35.0,97
m,35,10,6.0,1
m,35,10,8.0,1
m,35,10,11.0,1
m,35,10,25.0,1
m,35,10,26.0,1
m,35,10,27.0,1
m,35,10,29.0,1
m,35,10,31.0,1
m,35,10,34.0,5
m,35,10,35.0,104
m,35,11,8.0,2
m,35,11,9.0,1
m,35,11,12.0,2
m,35,11,15.0,3
m,35,11,28.0,1
m,35,11,32.0,3
m,35,11,33.0,1
m,35,11,34.0,3
m,35,11,35.0,118
m,35,12,7.0,1
m,35,12,10.0,1
m,35,12,11.0,2
m,35,12,13.0,1
m,35,12,15.0,3
m,35,12,17.0,1
m,35,12,24.0,1
m,35,12,25.0,1
m,35,12,28.0,2
m,35,12,29.0,1
m,35,12,31.0,1
m,35,12,32.0,1
m,35,12,33.0,1
m,35,12,34.0,7
m,35,12,35.0,106
m,35,13,5.0,2
m,35,13,10.0,1
m,35,13,14.0,1
m,35,13,20.0,1
m,35,13,21.0,1
m,35,13,22.0,1
m,35,13,25.0,1
m,35,13,33.0,3
m,35,13,34.0,8
m,35,13,35.0,123
m,35,14,5.0,2
m,35,14,6.0,1
m,35,14,7.0,1
m,35,14,9.0,1
m,35,14,10.0,1
m,35,14,11.0,1
m,35,14,15.0,1
m,35,14,21.0,1
m,35,14,26.0,1
m,35,14,29.0,1
m,35,14,30.0,1
m,35,14,33.0,1
m,35,14,34.0,3
m,35,14,35.0,112
m,35,2,2.0,1
m,35,2,7.0,1
m,35,2,9.0,2
m,35,2,11.0,1
m,35,2,15.0,1
m,35,2,17.0,1
m,35,2,18.0,2
m,35,2,27.0,1
m,35,2,29.0,1
m,35,2,32.0,1
m,35,2,35.0,119
m,35,3,2.0,1
m,35,3,3.0,1
m,35,3,4.0,1
m,35,3,5.0,2
m,35,3,7.0,1
m,35,3,8.0,2
m,35,3,9.0,1
m,35,3,15.0,1
m,35,3,20.0,1
m,35,3,21.0,1
m,35,3,30.0,2
m,35,3,32.0,2
m,35,3,33.0,1
m,35,3,35.0,114
m,35,4,4.0,1
m,35,4,7.0,2
m,35,4,12.0,1
m,35,4,13.0,1
m,35,4,14.0,1
m,35,4,15.0,1
m,35,4,19.0,2
m,35,4,30.0,1
m,35,4,31.0,1
m,35,4,33.0,2
m,35,4,34.0,2
m,35,4,35.0,140
m,35,5,3.0,2
m,35,5,8.0,1
m,35,5,15.0,2
m,35,5,17.0,1
m,35,5,22.0,1
m,35,5,25.0,1
m,35,5,27.0,1
m,35,5,30.0,1
m,35,5,33.0,3
m,35,5,34.0,4
m,35,5,35.0,132
m,35,6,2.0,1
m,35,6,14.0,2
m,35,6,15.0,1
m,35,6,16.0,1
m,35,6,21.0,2
m,35,6,32.0,1
m,35,6,34.0,4
m,35,6,35.0,113
m,35,7,6.0,1
m,35,7,19.0,1
m,35,7,20.0,1
m,35,7,21.0,1
m,35,7,34.0,1
m,35,7,35.0,89
m,35,8,1.0,1
m,35,8,7.0,1
m,35,8,10.0,1
m,35,8,16.0,2
m,35,8,22.0,1
m,35,8,24.0,1
m,35,8,25.0,1
m,35,8,30.0,1
m,35,8,34.0,3
m,35,8,35.0,125
m,35,9,18.0,1
m,35,9,20.0,1
m,35,9,31.0,1
m,35,9,34.0,3
m,35,9,35.0,118
m,40,0,9.0,2
m,40,0,11.0,1
m,40,0,14.0,3
m,40,0,18.0,1
m,40,0,23.0,1
m,40,0,24.0,2
m,40,0,26.0,1
m,40,0,34.0,1
m,40,0,37.0,1
m,40,0,38.0,1
m,40,0,39.0,114
m,40,1,4.0,1
m,40,1,6.0,1
m,40,1,12.0,1
m,40,1,17.0,1
m,40,1,18.0,1
m,40,1,21.0,2
m,40,1,33.0,1
m,40,1,38.0,2
m,40,1,39.0,114
m,40,10,4.0,2
m,40,10,8.0,1
m,40,10,15.0,2
m,40,10,16.0,1
m,40,10,21.0,1
m,40,10,22.0,1
m,40,10,23.0,1
m,40,10,34.0,1
m,40,10,37.0,2
m,40,10,38.0,3
m,40,10,39.0,108
m,40,11,5.0,1
m,40,11,15.0,1
m,40,11,16.0,1
m,40,11,18.0,2
m,40,11,19.0,1
m,40,11,21.0,1
m,40,11,23.0,1
m,40,11,34.0,1
m,40,11,38.0,7
m,40,11,39.0,102
m,40,12,2.0,1
m,40,12,7.0,1
m,40,12,15.0,1
m,40,12,16.0,1
m,40,12,21.0,1
m,40,12,24.0,1
m,40,12,28.0,1
m,40,12,30.0,1
m,40,12,34.0,1
m,40,12,38.0,7
m,40,12,39.0,110
m,40,13,7.0,1
m,40,13,9.0,1
m,40,13,10.0,1
m,40,13,11.0,1
m,40,13,13.0,1
m,40,13,16.0,1
m,40,13,19.0,1
m,40,13,24.0,3
m,40,13,27.0,1
m,40,13,34.0,1
m,40,13,35.0,1
m,40,13,38.0,1
m,40,13,39.0,105
m,40,14,5.0,1
m,40,14,9.0,1
m,40,14,18.0,1
m,40,14,22.0,1
m,40,14,27.0,1
m,40,14,34.0,1
m,40,14,35.0,1
