type,sequence len,errors,corrects,0
m,10,0,2.0,1
m,10,0,3.0,1
m,10,0,7.0,1
m,10,0,10.0,133
m,10,1,2.0,1
m,10,1,3.0,2
m,10,1,6.0,1
m,10,1,8.0,1
m,10,1,9.0,1
m,10,1,10.0,131
m,10,2,7.0,1
m,10,2,9.0,3
m,10,2,10.0,111
m,10,3,2.0,1
m,10,3,3.0,1
m,10,3,4.0,2
m,10,3,5.0,1
m,10,3,6.0,1
m,10,3,8.0,1
m,10,3,9.0,4
m,10,3,10.0,149
m,10,4,1.0,1
m,10,4,2.0,1
m,10,4,3.0,3
m,10,4,4.0,1
m,10,4,5.0,1
m,10,4,6.0,3
m,10,4,7.0,1
m,10,4,8.0,3
m,10,4,9.0,6
m,10,4,10.0,105
m,15,0,3.0,1
m,15,0,4.0,1
m,15,0,5.0,1
m,15,0,6.0,1
m,15,0,7.0,1
m,15,0,8.0,1
m,15,0,15.0,115
m,15,1,2.0,1
m,15,1,3.0,1
m,15,1,5.0,1
m,15,1,6.0,1
m,15,1,7.0,2
m,15,1,11.0,1
m,15,1,12.0,1
m,15,1,15.0,136
m,15,2,1.0,1
m,15,2,3.0,3
m,15,2,10.0,1
m,15,2,13.0,1
m,15,2,14.0,3
m,15,2,15.0,125
m,15,3,2.0,1
m,15,3,4.0,1
m,15,3,7.0,3
m,15,3,11.0,2
m,15,3,12.0,1
m,15,3,14.0,1
m,15,3,15.0,98
m,15,4,6.0,1
m,15,4,11.0,2
m,15,4,12.0,1
m,15,4,14.0,5
m,15,4,15.0,121
m,15,5,3.0,1
m,15,5,4.0,2
m,15,5,6.0,1
m,15,5,8.0,1
m,15,5,10.0,1
m,15,5,13.0,1
m,15,5,14.0,3
m,15,5,15.0,135
m,15,6,2.0,1
m,15,6,3.0,1
m,15,6,6.0,1
m,15,6,7.0,2
m,15,6,9.0,1
m,15,6,13.0,3
m,15,6,14.0,4
m,15,6,15.0,112
m,20,0,9.0,1
m,20,0,11.0,1
m,20,0,15.0,1
m,20,0,16.0,1
