type,sequence len,errors,corrects,0
m,10,0,2.0,1
m,10,0,6.0,1
m,10,0,9.0,1
m,10,0,10.0,135
m,10,1,5.0,1
m,10,1,7.0,1
m,10,1,9.0,1
m,10,1,10.0,118
m,10,2,3.0,1
m,10,2,9.0,2
m,10,2,10.0,123
m,10,3,2.0,1
m,10,3,5.0,3
m,10,3,6.0,1
m,10,3,7.0,2
m,10,3,8.0,1
m,10,3,9.0,2
m,10,3,10.0,125
m,10,4,2.0,2
m,10,4,4.0,1
m,10,4,5.0,1
m,10,4,6.0,2
m,10,4,7.0,1
m,10,4,8.0,2
m,10,4,9.0,3
m,10,4,10.0,120
m,15,0,6.0,1
m,15,0,9.0,1
m,15,0,11.0,1
m,15,0,14.0,1
m,15,0,15.0,111
m,15,1,12.0,1
m,15,1,13.0,1
m,15,1,14.0,2
m,15,1,15.0,127
m,15,2,1.0,1
m,15,2,3.0,2
m,15,2,4.0,1
m,15,2,6.0,1
m,15,2,8.0,1
m,15,2,9.0,1
m,15,2,10.0,2
m,15,2,11.0,2
m,15,2,14.0,4
m,15,2,15.0,109
m,15,3,3.0,1
m,15,3,6.0,1
m,15,3,8.0,1
m,15,3,10.0,1
m,15,3,12.0,2
m,15,3,13.0,1
m,15,3,14.0,1
m,15,3,15.0,117
m,15,4,3.0,1
m,15,4,5.0,2
m,15,4,6.0,1
m,15,4,9.0,1
m,15,4,12.0,2
m,15,4,14.0,4
m,15,4,15.0,117
m,15,5,3.0,2
m,15,5,7.0,1
m,15,5,10.0,1
m,15,5,11.0,1
m,15,5,12.0,1
m,15,5,14.0,3
m,15,5,15.0,130
m,15,6,1.0,1
m,15,6,2.0,2
m,15,6,3.0,1
m,15,6,9.0,1
m,15,6,12.0,1
m,15,6,14.0,6
m,15,6,15.0,128
m,20,0,5.0,1
m,20,0,6.0,1
m,20,0,15.0,1
m,20,0,18.0,1
m,20,0,20.0,123
m,20,1,5.0,1
m,20,1,6.0,1
m,20,1,8.0,1
m,20,1,11.0,2
m,20,1,15.0,3
m,20,1,18.0,1
m,20,1,20.0,124
m,20,2,8.0,1
m,20,2,10.0,1
m,20,2,11.0,2
m,20,2,16.0,1
m,20,2,17.0,1
m,20,2,18.0,1
m,20,2,19.0,4
m,20,2,20.0,125
m,20,3,3.0,1
m,20,3,8.0,4
m,20,3,20.0,107
m,20,4,2.0,1
m,20,4,3.0,1
m,20,4,4.0,1
m,20,4,7.0,1
m,20,4,8.0,2
m,20,4,9.0,1
m,20,4,16.0,1
m,20,4,19.0,2
