type,sequence len,errors,corrects,0
m,10,0,1.0,1
m,10,0,4.0,1
m,10,0,5.0,1
m,10,0,10.0,121
m,10,1,2.0,2
m,10,1,7.0,1
m,10,1,9.0,3
m,10,1,10.0,136
m,10,2,2.0,1
m,10,2,3.0,1
m,10,2,6.0,1
m,10,2,7.0,1
m,10,2,10.0,113
m,10,3,3.0,3
m,10,3,4.0,1
m,10,3,6.0,4
m,10,3,9.0,2
m,10,3,10.0,138
m,10,4,1.0,1
m,10,4,2.0,2
m,10,4,3.0,1
m,10,4,5.0,2
m,10,4,7.0,2
m,10,4,8.0,1
m,10,4,9.0,4
m,10,4,10.0,108
m,15,0,3.0,1
m,15,0,4.0,1
m,15,0,5.0,1
m,15,0,6.0,1
m,15,0,7.0,1
m,15,0,8.0,1
m,15,0,12.0,1
m,15,0,14.0,1
m,15,0,15.0,111
m,15,1,4.0,1
m,15,1,6.0,1
m,15,1,8.0,1
m,15,1,10.0,1
m,15,1,14.0,1
m,15,1,15.0,93
m,15,2,7.0,1
m,15,2,10.0,1
m,15,2,14.0,2
m,15,2,15.0,113
m,15,3,3.0,2
m,15,3,8.0,1
m,15,3,11.0,1
m,15,3,12.0,1
m,15,3,14.0,6
m,15,3,15.0,107
m,15,4,6.0,1
m,15,4,10.0,2
m,15,4,14.0,5
m,15,4,15.0,102
m,15,5,2.0,1
m,15,5,3.0,1
m,15,5,7.0,1
m,15,5,10.0,1
m,15,5,11.0,1
m,15,5,12.0,1
m,15,5,14.0,6
m,15,5,15.0,109
m,15,6,2.0,1
m,15,6,4.0,3
m,15,6,5.0,3
m,15,6,6.0,1
m,15,6,11.0,1
m,15,6,13.0,1
m,15,6,14.0,4
m,15,6,15.0,112
m,20,0,11.0,1
m,20,0,15.0,1
m,20,0,16.0,1
m,20,0,20.0,109
m,20,1,1.0,1
m,20,1,6.0,1
m,20,1,7.0,1
m,20,1,10.0,1
m,20,1,20.0,110
m,20,2,3.0,1
m,20,2,7.0,2
m,20,2,8.0,1
m,20,2,14.0,1
m,20,2,16.0,1
m,20,2,19.0,3
m,20,2,20.0,109
m,20,3,4.0,1
m,20,3,8.0,1
m,20,3,12.0,1
m,20,3,13.0,3
m,20,3,14.0,1
m,20,3,19.0,3
m,20,3,20.0,130
m,20,4,3.0,1
m,20,4,4.0,1
m,20,4,7.0,2
m,20,4,8.0,1
m,20,4,9.0,1
m,20,4,13.0,2
m,20,4,15.0,1
m,20,4,16.0,1
m,20,4,18.0,2
m,20,4,19.0,2
m,20,4,20.0,109
m,20,5,2.0,1
m,20,5,3.0,1
m,20,5,6.0,1
m,20,5,12.0,1
m,20,5,17.0,2
m,20,5,19.0,1
m,20,5,20.0,107
m,20,6,1.0,1
m,20,6,4.0,1
m,20,6,11.0,1
m,20,6,14.0,1
m,20,6,16.0,1
m,20,6,19.0,1
m,20,6,20.0,111
m,20,7,2.0,2
m,20,7,3.0,1
m,20,7,6.0,1
m,20,7,8.0,2
m,20,7,12.0,1
m,20,7,15.0,1
m,20,7,19.0,1
m,20,7,20.0,130
m,20,8,2.0,1
m,20,8,3.0,1
m,20,8,4.0,1
m,20,8,5.0,1
m,20,8,7.0,1
m,20,8,11.0,1
m,20,8,12.0,1
m,20,8,16.0,1
m,20,8,17.0,1
m,20,8,18.0,1
m,20,8,19.0,7
m,20,8,20.0,115
m,25,0,1.0,2
m,25,0,4.0,1
m,25,0,7.0,2
m,25,0,9.0,1
m,25,0,12.0,1
m,25,0,17.0,1
m,25,0,18.0,1
m,25,0,19.0,1
m,25,0,20.0,1
m,25,0,23.0,1
m,25,0,24.0,1
m,25,0,25.0,123
m,25,1,3.0,1
m,25,1,5.0,1
m,25,1,14.0,1
m,25,1,15.0,1
m,25,1,17.0,1
m,25,1,24.0,1
m,25,1,25.0,110
m,25,10,5.0,1
m,25,10,6.0,1
m,25,10,8.0,1
m,25,10,13.0,1
m,25,10,14.0,1
m,25,10,16.0,1
m,25,10,18.0,1
m,25,10,20.0,1
m,25,10,22.0,3
m,25,10,23.0,2
m,25,10,24.0,4
m,25,10,25.0,108
m,25,2,3.0,1
m,25,2,4.0,2
m,25,2,5.0,1
m,25,2,6.0,1
m,25,2,7.0,1
m,25,2,11.0,1
m,25,2,12.0,1
m,25,2,13.0,1
m,25,2,15.0,1
m,25,2,16.0,1
m,25,2,22.0,1
m,25,2,24.0,1
m,25,2,25.0,113
m,25,3,3.0,1
m,25,3,9.0,2
m,25,3,16.0,2
m,25,3,18.0,1
m,25,3,20.0,2
m,25,3,22.0,1
m,25,3,24.0,5
m,25,3,25.0,103
m,25,4,3.0,2
m,25,4,5.0,1
m,25,4,8.0,1
m,25,4,10.0,1
m,25,4,23.0,1
m,25,4,24.0,1
m,25,4,25.0,113
m,25,5,8.0,1
m,25,5,11.0,1
m,25,5,14.0,1
m,25,5,23.0,2
m,25,5,24.0,5
m,25,5,25.0,115
m,25,6,1.0,1
m,25,6,3.0,1
m,25,6,6.0,1
m,25,6,11.0,1
m,25,6,12.0,1
m,25,6,13.0,1
m,25,6,15.0,1
m,25,6,17.0,1
m,25,6,20.0,1
m,25,6,23.0,1
m,25,6,24.0,4
m,25,6,25.0,117
m,25,7,4.0,1
m,25,7,5.0,2
m,25,7,6.0,1
m,25,7,11.0,1
m,25,7,13.0,2
m,25,7,17.0,1
m,25,7,23.0,2
m,25,7,24.0,3
m,25,7,25.0,123
m,25,8,3.0,1
m,25,8,4.0,1
m,25,8,5.0,1
m,25,8,6.0,1
m,25,8,23.0,1
m,25,8,24.0,7
m,25,8,25.0,117
m,25,9,6.0,2
m,25,9,10.0,1
m,25,9,13.0,1
m,25,9,14.0,1
m,25,9,16.0,1
m,25,9,17.0,3
m,25,9,24.0,5
m,25,9,25.0,116
m,30,0,1.0,1
m,30,0,6.0,1
m,30,0,10.0,1
m,30,0,16.0,2
m,30,0,24.0,2
m,30,0,27.0,1
m,30,0,28.0,1
m,30,0,29.0,1
m,30,0,30.0,103
m,30,1,1.0,1
m,30,1,3.0,1
m,30,1,5.0,1
m,30,1,8.0,1
m,30,1,14.0,1
m,30,1,15.0,2
m,30,1,17.0,1
m,30,1,20.0,2
m,30,1,22.0,3
m,30,1,29.0,1
m,30,1,30.0,109
m,30,10,3.0,1
m,30,10,7.0,2
m,30,10,8.0,1
m,30,10,9.0,1
m,30,10,11.0,1
m,30,10,15.0,1
m,30,10,19.0,1
m,30,10,23.0,1
m,30,10,24.0,1
m,30,10,26.0,1
m,30,10,28.0,1
m,30,10,29.0,6
m,30,10,30.0,121
m,30,11,1.0,1
m,30,11,4.0,1
m,30,11,5.0,1
m,30,11,8.0,1
m,30,11,13.0,1
m,30,11,20.0,2
m,30,11,21.0,3
m,30,11,22.0,1
m,30,11,23.0,1
m,30,11,25.0,2
m,30,11,28.0,1
m,30,11,29.0,6
m,30,11,30.0,102
m,30,12,3.0,1
m,30,12,4.0,3
m,30,12,11.0,1
m,30,12,16.0,1
m,30,12,20.0,1
m,30,12,21.0,1
m,30,12,26.0,1
m,30,12,27.0,3
m,30,12,28.0,1
m,30,12,29.0,8
m,30,12,30.0,118
m,30,2,1.0,1
m,30,2,6.0,1
m,30,2,8.0,2
