type,sequence len,errors,corrects,0
m,10,0,1.0,1
m,10,0,2.0,1
m,10,0,4.0,1
m,10,0,7.0,1
m,10,0,9.0,1
m,10,0,10.0,130
m,10,1,9.0,1
m,10,1,10.0,143
m,10,2,1.0,2
m,10,2,7.0,1
m,10,2,8.0,1
m,10,2,9.0,1
m,10,2,10.0,117
m,10,3,2.0,1
m,10,3,3.0,2
m,10,3,4.0,1
m,10,3,5.0,1
m,10,3,6.0,2
m,10,3,8.0,2
m,10,3,9.0,4
m,10,3,10.0,114
m,10,4,1.0,1
m,10,4,3.0,2
m,10,4,4.0,1
m,10,4,5.0,1
m,10,4,6.0,1
m,10,4,8.0,3
m,10,4,9.0,6
m,10,4,10.0,107
m,15,0,2.0,1
m,15,0,3.0,1
m,15,0,8.0,1
m,15,0,13.0,1
m,15,0,15.0,126
m,15,1,3.0,1
m,15,1,4.0,1
m,15,1,5.0,1
m,15,1,7.0,1
m,15,1,9.0,1
m,15,1,15.0,119
m,15,2,4.0,3
m,15,2,7.0,2
m,15,2,10.0,1
m,15,2,12.0,2
m,15,2,15.0,124
m,15,3,4.0,2
m,15,3,8.0,1
m,15,3,11.0,3
m,15,3,14.0,1
m,15,3,15.0,101
m,15,4,2.0,1
m,15,4,3.0,1
m,15,4,6.0,1
m,15,4,10.0,1
m,15,4,13.0,2
m,15,4,14.0,3
m,15,4,15.0,108
m,15,5,10.0,1
m,15,5,11.0,1
m,15,5,13.0,1
m,15,5,14.0,6
m,15,5,15.0,107
m,15,6,3.0,1
m,15,6,6.0,1
m,15,6,8.0,1
m,15,6,10.0,2
m,15,6,11.0,1
m,15,6,12.0,1
m,15,6,13.0,1
m,15,6,14.0,6
m,15,6,15.0,113
m,20,0,8.0,1
m,20,0,9.0,1
m,20,0,18.0,1
m,20,0,20.0,109
m,20,1,3.0,1
m,20,1,5.0,1
m,20,1,7.0,2
m,20,1,8.0,1
m,20,1,15.0,1
m,20,1,19.0,1
m,20,1,20.0,120
m,20,2,4.0,1
m,20,2,11.0,1
m,20,2,13.0,1
m,20,2,14.0,1
m,20,2,17.0,2
m,20,2,19.0,2
m,20,2,20.0,127
m,20,3,3.0,1
m,20,3,4.0,3
m,20,3,5.0,1
m,20,3,12.0,1
m,20,3,15.0,2
m,20,3,17.0,2
m,20,3,19.0,2
m,20,3,20.0,120
m,20,4,7.0,1
m,20,4,8.0,1
m,20,4,11.0,1
m,20,4,13.0,1
m,20,4,18.0,1
m,20,4,19.0,1
m,20,4,20.0,105
m,20,5,2.0,1
m,20,5,4.0,1
m,20,5,6.0,1
m,20,5,12.0,1
m,20,5,18.0,1
m,20,5,19.0,2
m,20,5,20.0,108
m,20,6,3.0,1
m,20,6,4.0,1
m,20,6,7.0,1
m,20,6,8.0,2
m,20,6,13.0,1
m,20,6,18.0,2
m,20,6,19.0,4
m,20,6,20.0,106
