type,sequence len,errors,corrects,0
m,10,0,2.0,3
m,10,0,4.0,1
m,10,0,8.0,1
m,10,0,10.0,120
m,10,1,2.0,1
m,10,1,3.0,2
m,10,1,6.0,1
m,10,1,8.0,1
m,10,1,9.0,2
m,10,1,10.0,126
m,10,2,7.0,1
m,10,2,8.0,2
m,10,2,9.0,2
m,10,2,10.0,118
m,10,3,1.0,1
m,10,3,2.0,1
m,10,3,5.0,1
m,10,3,7.0,1
m,10,3,8.0,2
m,10,3,9.0,2
m,10,3,10.0,117
m,10,4,2.0,3
m,10,4,4.0,2
m,10,4,5.0,1
m,10,4,7.0,2
m,10,4,8.0,2
m,10,4,9.0,1
m,10,4,10.0,118
m,15,0,3.0,2
m,15,0,5.0,1
m,15,0,6.0,1
m,15,0,7.0,1
m,15,0,12.0,1
m,15,0,13.0,1
m,15,0,15.0,113
m,15,1,2.0,1
m,15,1,4.0,2
m,15,1,9.0,1
m,15,1,14.0,1
m,15,1,15.0,128
m,15,2,1.0,1
m,15,2,3.0,1
m,15,2,8.0,2
m,15,2,11.0,1
m,15,2,13.0,1
m,15,2,14.0,2
m,15,2,15.0,114
m,15,3,2.0,1
m,15,3,7.0,1
m,15,3,8.0,1
m,15,3,11.0,1
m,15,3,14.0,4
m,15,3,15.0,119
m,15,4,14.0,4
m,15,4,15.0,125
m,15,5,3.0,2
m,15,5,11.0,1
m,15,5,14.0,4
m,15,5,15.0,115
m,15,6,3.0,2
m,15,6,11.0,2
m,15,6,14.0,4
m,15,6,15.0,109
m,20,0,4.0,1
m,20,0,7.0,3
m,20,0,8.0,2
m,20,0,11.0,1
m,20,0,18.0,2
m,20,0,20.0,106
m,20,1,4.0,2
m,20,1,6.0,1
m,20,1,8.0,3
m,20,1,10.0,1
m,20,1,19.0,2
m,20,1,20.0,118
m,20,2,1.0,1
m,20,2,3.0,1
m,20,2,4.0,1
m,20,2,8.0,1
m,20,2,11.0,1
m,20,2,13.0,1
m,20,2,15.0,1
m,20,2,19.0,1
m,20,2,20.0,113
m,20,3,2.0,1
m,20,3,3.0,1
m,20,3,8.0,1
m,20,3,9.0,1
m,20,3,13.0,1
m,20,3,17.0,1
m,20,3,19.0,2
m,20,3,20.0,120
m,20,4,1.0,1
m,20,4,3.0,1
