type,sequence len,errors,corrects,0
m,10,0,2.0,3
m,10,0,10.0,133
m,10,1,4.0,4
m,10,1,5.0,1
m,10,1,8.0,2
m,10,1,10.0,124
m,10,2,10.0,126
m,10,3,2.0,2
m,10,3,4.0,3
m,10,3,5.0,1
m,10,3,6.0,2
m,10,3,7.0,1
m,10,3,8.0,1
m,10,3,9.0,2
m,10,3,10.0,102
m,10,4,1.0,2
m,10,4,4.0,1
m,10,4,6.0,1
m,10,4,7.0,1
m,10,4,9.0,4
m,10,4,10.0,112
m,15,0,3.0,1
m,15,0,13.0,1
m,15,0,15.0,114
m,15,1,2.0,1
m,15,1,3.0,1
m,15,1,6.0,1
m,15,1,10.0,1
m,15,1,12.0,3
m,15,1,14.0,1
m,15,1,15.0,131
m,15,2,2.0,1
m,15,2,3.0,2
m,15,2,6.0,1
m,15,2,8.0,1
m,15,2,9.0,1
m,15,2,13.0,1
m,15,2,15.0,110
m,15,3,4.0,1
m,15,3,5.0,1
m,15,3,12.0,2
m,15,3,14.0,1
m,15,3,15.0,118
m,15,4,2.0,1
m,15,4,6.0,1
m,15,4,7.0,2
m,15,4,8.0,1
m,15,4,14.0,3
m,15,4,15.0,116
m,15,5,2.0,1
m,15,5,6.0,1
m,15,5,8.0,1
m,15,5,9.0,1
m,15,5,13.0,2
m,15,5,14.0,4
m,15,5,15.0,115
m,15,6,4.0,1
m,15,6,7.0,1
m,15,6,8.0,1
m,15,6,10.0,1
m,15,6,11.0,1
m,15,6,13.0,1
m,15,6,14.0,3
m,15,6,15.0,112
m,20,0,1.0,1
m,20,0,3.0,4
m,20,0,4.0,1
m,20,0,5.0,2
m,20,0,6.0,1
m,20,0,7.0,2
m,20,0,10.0,1
m,20,0,20.0,134
m,20,1,6.0,2
m,20,1,9.0,1
m,20,1,10.0,1
m,20,1,13.0,1
m,20,1,19.0,1
m,20,1,20.0,130
m,20,2,3.0,1
m,20,2,10.0,1
m,20,2,13.0,1
m,20,2,19.0,2
m,20,2,20.0,111
m,20,3,2.0,1
m,20,3,4.0,1
m,20,3,7.0,1
m,20,3,16.0,1
m,20,3,19.0,1
m,20,3,20.0,131
m,20,4,5.0,1
m,20,4,8.0,2
m,20,4,10.0,1
m,20,4,12.0,1
m,20,4,15.0,2
m,20,4,18.0,1
m,20,4,19.0,3
m,20,4,20.0,116
m,20,5,4.0,1
m,20,5,6.0,2
m,20,5,11.0,1
m,20,5,16.0,1
m,20,5,19.0,1
m,20,5,20.0,130
m,20,6,3.0,2
m,20,6,5.0,2
m,20,6,6.0,1
m,20,6,8.0,1
m,20,6,12.0,1
m,20,6,13.0,1
m,20,6,16.0,1
m,20,6,17.0,1
m,20,6,19.0,3
m,20,6,20.0,112
m,20,7,2.0,1
m,20,7,7.0,1
m,20,7,9.0,1
m,20,7,10.0,2
m,20,7,11.0,1
m,20,7,17.0,1
m,20,7,18.0,1
m,20,7,19.0,10
m,20,7,20.0,83
m,20,8,3.0,1
m,20,8,5.0,1
m,20,8,6.0,1
m,20,8,7.0,2
m,20,8,10.0,2
m,20,8,12.0,1
m,20,8,13.0,1
m,20,8,15.0,2
m,20,8,16.0,1
m,20,8,17.0,1
m,20,8,19.0,2
m,20,8,20.0,113
m,25,0,4.0,1
m,25,0,6.0,2
m,25,0,7.0,1
m,25,0,17.0,2
m,25,0,18.0,1
m,25,0,22.0,1
m,25,0,25.0,110
m,25,1,1.0,1
m,25,1,4.0,2
m,25,1,5.0,1
m,25,1,6.0,1
m,25,1,12.0,1
m,25,1,15.0,1
m,25,1,19.0,2
m,25,1,22.0,1
m,25,1,25.0,113
m,25,10,2.0,1
m,25,10,3.0,4
m,25,10,4.0,1
m,25,10,6.0,1
m,25,10,7.0,1
m,25,10,8.0,1
m,25,10,13.0,1
m,25,10,16.0,1
m,25,10,17.0,1
m,25,10,19.0,2
m,25,10,22.0,2
m,25,10,24.0,5
m,25,10,25.0,102
m,25,2,4.0,2
m,25,2,6.0,1
m,25,2,10.0,1
m,25,2,14.0,1
m,25,2,17.0,1
m,25,2,24.0,2
m,25,2,25.0,112
m,25,3,2.0,1
m,25,3,5.0,1
m,25,3,11.0,1
m,25,3,13.0,1
m,25,3,14.0,1
m,25,3,15.0,3
m,25,3,18.0,2
m,25,3,21.0,1
m,25,3,22.0,1
m,25,3,23.0,2
m,25,3,24.0,3
m,25,3,25.0,99
m,25,4,4.0,2
m,25,4,7.0,1
m,25,4,8.0,1
m,25,4,9.0,1
m,25,4,10.0,1
m,25,4,14.0,1
m,25,4,19.0,1
m,25,4,22.0,2
m,25,4,23.0,1
m,25,4,24.0,4
m,25,4,25.0,96
m,25,5,3.0,2
m,25,5,12.0,1
m,25,5,13.0,1
m,25,5,15.0,1
m,25,5,16.0,1
m,25,5,19.0,1
m,25,5,21.0,1
m,25,5,23.0,2
m,25,5,24.0,3
m,25,5,25.0,128
m,25,6,1.0,1
m,25,6,3.0,1
m,25,6,6.0,1
m,25,6,12.0,1
m,25,6,13.0,1
m,25,6,14.0,1
m,25,6,15.0,1
m,25,6,18.0,1
m,25,6,22.0,1
m,25,6,24.0,1
m,25,6,25.0,115
m,25,7,2.0,1
m,25,7,3.0,1
m,25,7,6.0,1
m,25,7,13.0,2
m,25,7,14.0,1
m,25,7,16.0,1
m,25,7,17.0,1
m,25,7,18.0,1
m,25,7,22.0,1
m,25,7,23.0,1
m,25,7,24.0,4
m,25,7,25.0,125
m,25,8,4.0,1
