type,sequence len,errors,corrects,0
m,10,0,3.0,1
m,10,0,4.0,1
m,10,0,7.0,1
m,10,0,10.0,111
m,10,1,2.0,2
m,10,1,3.0,1
m,10,1,7.0,2
m,10,1,8.0,2
m,10,1,9.0,2
m,10,1,10.0,103
m,10,2,1.0,1
m,10,2,2.0,2
m,10,2,4.0,2
m,10,2,7.0,1
m,10,2,9.0,2
m,10,2,10.0,105
m,10,3,3.0,1
m,10,3,7.0,1
m,10,3,9.0,4
m,10,3,10.0,118
m,10,4,2.0,2
m,10,4,4.0,1
m,10,4,5.0,3
m,10,4,6.0,3
m,10,4,8.0,1
m,10,4,9.0,6
m,10,4,10.0,99
m,15,0,9.0,1
m,15,0,15.0,129
m,15,1,3.0,1
m,15,1,5.0,1
m,15,1,9.0,1
m,15,1,10.0,1
m,15,1,14.0,1
m,15,1,15.0,126
m,15,2,3.0,1
m,15,2,8.0,1
m,15,2,12.0,1
m,15,2,14.0,2
m,15,2,15.0,105
m,15,3,7.0,1
m,15,3,11.0,2
m,15,3,13.0,1
m,15,3,14.0,3
m,15,3,15.0,127
m,15,4,2.0,1
m,15,4,10.0,1
m,15,4,12.0,1
m,15,4,15.0,131
m,15,5,4.0,1
m,15,5,7.0,1
m,15,5,8.0,2
m,15,5,11.0,3
m,15,5,13.0,3
m,15,5,14.0,2
m,15,5,15.0,130
m,15,6,1.0,1
m,15,6,2.0,1
m,15,6,3.0,1
m,15,6,5.0,1
m,15,6,6.0,1
m,15,6,7.0,2
m,15,6,10.0,1
m,15,6,12.0,2
m,15,6,14.0,2
m,15,6,15.0,106
m,20,0,3.0,1
m,20,0,7.0,2
m,20,0,8.0,2
m,20,0,13.0,1
m,20,0,15.0,1
m,20,0,20.0,119
m,20,1,3.0,1
m,20,1,6.0,1
m,20,1,13.0,1
m,20,1,16.0,1
m,20,1,18.0,1
m,20,1,20.0,127
m,20,2,1.0,1
m,20,2,3.0,1
m,20,2,4.0,1
m,20,2,6.0,1
m,20,2,10.0,1
m,20,2,15.0,1
m,20,2,16.0,1
m,20,2,19.0,5
m,20,2,20.0,115
m,20,3,4.0,1
m,20,3,8.0,2
m,20,3,13.0,1
m,20,3,14.0,1
m,20,3,17.0,1
m,20,3,20.0,110
m,20,4,7.0,1
m,20,4,8.0,1
m,20,4,10.0,1
m,20,4,16.0,1
m,20,4,17.0,2
m,20,4,18.0,2
m,20,4,19.0,1
m,20,4,20.0,137
m,20,5,6.0,1
m,20,5,8.0,1
m,20,5,14.0,1
m,20,5,16.0,1
m,20,5,19.0,3
m,20,5,20.0,114
m,20,6,2.0,2
m,20,6,3.0,1
m,20,6,7.0,1
m,20,6,11.0,1
m,20,6,18.0,1
m,20,6,19.0,1
m,20,6,20.0,129
m,20,7,2.0,1
m,20,7,3.0,1
m,20,7,4.0,1
m,20,7,6.0,1
m,20,7,8.0,1
m,20,7,9.0,1
m,20,7,12.0,2
m,20,7,13.0,1
m,20,7,14.0,2
m,20,7,17.0,2
m,20,7,19.0,4
m,20,7,20.0,96
m,20,8,3.0,2
m,20,8,7.0,1
m,20,8,11.0,1
m,20,8,12.0,1
m,20,8,14.0,1
m,20,8,17.0,1
m,20,8,18.0,4
m,20,8,19.0,2
m,20,8,20.0,105
m,25,0,7.0,1
m,25,0,11.0,1
m,25,0,14.0,1
m,25,0,19.0,1
m,25,0,22.0,1
m,25,0,25.0,109
m,25,1,1.0,1
m,25,1,4.0,1
m,25,1,25.0,134
m,25,10,6.0,1
m,25,10,9.0,1
m,25,10,15.0,1
