type,sequence len,errors,corrects,0
m,10,0,3.0,2
m,10,0,4.0,1
m,10,0,10.0,103
m,10,1,1.0,1
m,10,1,2.0,1
m,10,1,6.0,1
m,10,1,10.0,120
m,10,2,2.0,1
m,10,2,3.0,1
m,10,2,6.0,1
m,10,2,10.0,113
m,10,3,4.0,1
m,10,3,5.0,1
m,10,3,7.0,1
m,10,3,9.0,2
m,10,3,10.0,105
m,10,4,2.0,1
m,10,4,3.0,1
m,10,4,4.0,1
m,10,4,8.0,3
m,10,4,9.0,7
m,10,4,10.0,119
m,15,0,2.0,1
m,15,0,3.0,1
m,15,0,4.0,2
m,15,0,6.0,1
m,15,0,8.0,1
m,15,0,9.0,1
m,15,0,10.0,1
m,15,0,11.0,2
m,15,0,14.0,1
m,15,0,15.0,127
m,15,1,1.0,1
m,15,1,2.0,1
m,15,1,3.0,1
m,15,1,4.0,1
m,15,1,5.0,1
m,15,1,8.0,1
m,15,1,14.0,1
m,15,1,15.0,129
m,15,2,4.0,1
m,15,2,5.0,1
m,15,2,6.0,1
m,15,2,8.0,1
m,15,2,11.0,1
m,15,2,14.0,2
m,15,2,15.0,113
m,15,3,3.0,1
m,15,3,10.0,1
m,15,3,13.0,1
m,15,3,14.0,2
m,15,3,15.0,109
m,15,4,3.0,2
m,15,4,5.0,1
m,15,4,6.0,1
m,15,4,8.0,1
m,15,4,12.0,1
m,15,4,14.0,2
m,15,4,15.0,109
m,15,5,3.0,1
m,15,5,4.0,2
m,15,5,14.0,7
m,15,5,15.0,107
m,15,6,3.0,2
m,15,6,4.0,1
m,15,6,6.0,1
m,15,6,7.0,1
m,15,6,10.0,1
m,15,6,13.0,1
m,15,6,14.0,5
m,15,6,15.0,129
m,20,0,5.0,1
m,20,0,8.0,1
m,20,0,10.0,1
m,20,0,11.0,1
m,20,0,13.0,2
m,20,0,15.0,1
m,20,0,16.0,1
m,20,0,17.0,1
m,20,0,19.0,1
m,20,0,20.0,120
m,20,1,3.0,1
m,20,1,4.0,1
m,20,1,6.0,1
m,20,1,8.0,1
m,20,1,9.0,1
m,20,1,14.0,1
m,20,1,15.0,1
m,20,1,19.0,1
m,20,1,20.0,111
m,20,2,4.0,1
m,20,2,5.0,1
m,20,2,6.0,1
m,20,2,7.0,1
m,20,2,9.0,1
m,20,2,11.0,1
m,20,2,18.0,1
m,20,2,19.0,1
m,20,2,20.0,123
m,20,3,1.0,2
m,20,3,3.0,1
m,20,3,18.0,1
m,20,3,19.0,1
m,20,3,20.0,115
m,20,4,4.0,1
m,20,4,8.0,1
m,20,4,11.0,2
m,20,4,16.0,1
m,20,4,17.0,1
m,20,4,19.0,3
m,20,4,20.0,109
m,20,5,3.0,1
m,20,5,5.0,1
m,20,5,6.0,1
m,20,5,8.0,1
m,20,5,10.0,1
m,20,5,11.0,1
m,20,5,15.0,1
m,20,5,17.0,1
m,20,5,18.0,2
m,20,5,19.0,5
m,20,5,20.0,109
m,20,6,7.0,1
m,20,6,8.0,1
m,20,6,15.0,2
m,20,6,16.0,1
m,20,6,18.0,2
m,20,6,19.0,5
m,20,6,20.0,123
m,20,7,1.0,1
m,20,7,2.0,1
m,20,7,5.0,1
m,20,7,6.0,2
m,20,7,10.0,1
m,20,7,11.0,1
m,20,7,12.0,1
m,20,7,19.0,6
m,20,7,20.0,95
m,20,8,3.0,2
m,20,8,5.0,1
m,20,8,8.0,1
m,20,8,10.0,1
m,20,8,17.0,3
m,20,8,18.0,1
m,20,8,20.0,112
m,25,0,11.0,1
m,25,0,13.0,3
m,25,0,25.0,112
m,25,1,5.0,1
m,25,1,8.0,2
m,25,1,9.0,1
m,25,1,10.0,1
m,25,1,13.0,3
m,25,1,15.0,2
m,25,1,18.0,1
m,25,1,22.0,2
m,25,1,24.0,2
m,25,1,25.0,110
m,25,10,1.0,1
m,25,10,3.0,1
m,25,10,4.0,1
m,25,10,8.0,2
m,25,10,14.0,1
m,25,10,17.0,2
m,25,10,22.0,2
m,25,10,23.0,1
m,25,10,24.0,5
m,25,10,25.0,113
m,25,2,4.0,1
m,25,2,5.0,2
m,25,2,8.0,2
m,25,2,20.0,1
m,25,2,24.0,2
m,25,2,25.0,123
m,25,3,2.0,1
m,25,3,7.0,1
m,25,3,9.0,1
m,25,3,14.0,1
m,25,3,15.0,2
m,25,3,19.0,2
m,25,3,20.0,2
m,25,3,22.0,1
m,25,3,24.0,3
m,25,3,25.0,123
m,25,4,3.0,1
m,25,4,4.0,1
m,25,4,8.0,1
m,25,4,9.0,1
m,25,4,10.0,1
m,25,4,11.0,1
m,25,4,18.0,1
m,25,4,24.0,3
m,25,4,25.0,99
m,25,5,9.0,1
m,25,5,11.0,1
m,25,5,12.0,1
m,25,5,13.0,1
m,25,5,14.0,1
m,25,5,17.0,1
m,25,5,18.0,1
m,25,5,21.0,1
m,25,5,22.0,1
m,25,5,23.0,1
m,25,5,24.0,1
m,25,5,25.0,134
m,25,6,3.0,1
m,25,6,5.0,1
m,25,6,8.0,2
m,25,6,10.0,1
m,25,6,16.0,2
m,25,6,17.0,2
m,25,6,23.0,1
m,25,6,24.0,2
m,25,6,25.0,119
m,25,7,7.0,2
m,25,7,18.0,1
m,25,7,23.0,1
m,25,7,24.0,4
m,25,7,25.0,128
m,25,8,2.0,1
m,25,8,3.0,1
m,25,8,6.0,1
m,25,8,8.0,1
m,25,8,9.0,1
m,25,8,12.0,1
m,25,8,21.0,1
m,25,8,22.0,1
m,25,8,24.0,5
m,25,8,25.0,103
m,25,9,3.0,1
m,25,9,14.0,1
m,25,9,22.0,2
m,25,9,23.0,1
m,25,9,24.0,2
m,25,9,25.0,97
m,30,0,9.0,1
m,30,0,11.0,1
m,30,0,12.0,1
m,30,0,13.0,1
m,30,0,14.0,1
m,30,0,16.0,1
m,30,0,23.0,1
m,30,0,30.0,131
m,30,1,12.0,2
m,30,1,22.0,1
m,30,1,25.0,1
m,30,1,27.0,1
m,30,1,30.0,132
m,30,10,3.0,1
m,30,10,4.0,1
m,30,10,5.0,2
m,30,10,7.0,1
m,30,10,10.0,1
m,30,10,20.0,1
m,30,10,26.0,1
m,30,10,28.0,1
m,30,10,29.0,3
m,30,10,30.0,104
m,30,11,1.0,1
m,30,11,6.0,2
m,30,11,8.0,1
m,30,11,9.0,1
m,30,11,17.0,1
m,30,11,19.0,2
m,30,11,27.0,2
m,30,11,28.0,1
m,30,11,29.0,5
m,30,11,30.0,111
m,30,12,4.0,3
m,30,12,5.0,1
m,30,12,6.0,2
m,30,12,9.0,2
m,30,12,11.0,2
m,30,12,12.0,1
m,30,12,13.0,1
m,30,12,17.0,1
m,30,12,22.0,3
m,30,12,23.0,3
m,30,12,26.0,2
m,30,12,28.0,2
m,30,12,29.0,9
m,30,12,30.0,101
m,30,2,7.0,1
m,30,2,8.0,1
m,30,2,12.0,1
m,30,2,13.0,3
