type,sequence len,errors,corrects,0
m,10,0,2.0,1
m,10,0,6.0,1
m,10,0,10.0,145
m,10,1,3.0,1
m,10,1,4.0,1
m,10,1,6.0,1
m,10,1,8.0,2
m,10,1,9.0,2
m,10,1,10.0,111
m,10,2,2.0,2
m,10,2,8.0,2
m,10,2,10.0,115
m,10,3,1.0,1
m,10,3,2.0,3
m,10,3,3.0,1
m,10,3,4.0,2
m,10,3,6.0,1
m,10,3,7.0,1
m,10,3,8.0,2
m,10,3,9.0,5
m,10,3,10.0,107
m,10,4,5.0,2
m,10,4,6.0,1
m,10,4,8.0,1
m,10,4,9.0,7
m,10,4,10.0,107
m,15,0,6.0,1
m,15,0,9.0,1
m,15,0,12.0,1
m,15,0,13.0,2
m,15,0,15.0,122
m,15,1,2.0,1
m,15,1,4.0,1
m,15,1,6.0,1
m,15,1,10.0,1
m,15,1,12.0,1
m,15,1,15.0,107
m,15,2,1.0,1
m,15,2,9.0,1
m,15,2,12.0,1
m,15,2,14.0,1
m,15,2,15.0,110
m,15,3,3.0,2
m,15,3,4.0,1
m,15,3,5.0,1
m,15,3,6.0,1
m,15,3,8.0,1
m,15,3,11.0,1
m,15,3,14.0,2
m,15,3,15.0,104
m,15,4,2.0,1
m,15,4,3.0,2
m,15,4,5.0,1
m,15,4,6.0,1
m,15,4,7.0,1
m,15,4,8.0,2
m,15,4,12.0,1
m,15,4,13.0,1
m,15,4,14.0,6
m,15,4,15.0,103
m,15,5,3.0,1
m,15,5,4.0,1
m,15,5,7.0,1
m,15,5,8.0,1
m,15,5,9.0,2
m,15,5,10.0,1
m,15,5,12.0,1
m,15,5,13.0,1
m,15,5,14.0,3
m,15,5,15.0,108
m,15,6,3.0,2
m,15,6,11.0,3
m,15,6,12.0,2
m,15,6,13.0,2
m,15,6,14.0,7
m,15,6,15.0,118
m,20,0,6.0,1
m,20,0,11.0,1
m,20,0,13.0,1
m,20,0,14.0,1
m,20,0,19.0,1
m,20,0,20.0,98
m,20,1,3.0,2
m,20,1,5.0,1
m,20,1,14.0,1
m,20,1,16.0,1
m,20,1,17.0,1
m,20,1,19.0,1
m,20,1,20.0,125
m,20,2,1.0,1
m,20,2,2.0,1
m,20,2,3.0,1
m,20,2,16.0,2
m,20,2,20.0,104
m,20,3,6.0,2
m,20,3,8.0,1
m,20,3,9.0,1
m,20,3,11.0,1
m,20,3,19.0,2
m,20,3,20.0,108
m,20,4,2.0,1
m,20,4,4.0,1
m,20,4,9.0,1
m,20,4,10.0,1
m,20,4,13.0,1
