type,sequence len,errors,corrects,0
m,10,0,1.0,1
m,10,0,2.0,1
m,10,0,3.0,1
m,10,0,10.0,137
m,10,1,1.0,1
m,10,1,2.0,1
m,10,1,4.0,1
m,10,1,8.0,1
m,10,1,9.0,3
m,10,1,10.0,118
m,10,2,2.0,1
m,10,2,3.0,1
m,10,2,4.0,2
m,10,2,9.0,5
m,10,2,10.0,92
m,10,3,1.0,1
m,10,3,3.0,4
m,10,3,4.0,2
m,10,3,7.0,1
m,10,3,8.0,3
m,10,3,9.0,1
m,10,3,10.0,111
m,10,4,5.0,1
m,10,4,6.0,1
m,10,4,9.0,6
m,10,4,10.0,113
m,15,0,3.0,1
m,15,0,6.0,1
m,15,0,10.0,1
m,15,0,15.0,125
m,15,1,2.0,1
m,15,1,3.0,1
m,15,1,15.0,119
m,15,2,3.0,2
m,15,2,5.0,1
m,15,2,6.0,1
m,15,2,9.0,2
m,15,2,10.0,1
m,15,2,12.0,1
m,15,2,14.0,1
m,15,2,15.0,102
m,15,3,3.0,1
m,15,3,6.0,1
m,15,3,12.0,2
m,15,3,14.0,4
m,15,3,15.0,133
m,15,4,2.0,1
m,15,4,3.0,2
m,15,4,6.0,2
m,15,4,7.0,1
m,15,4,10.0,1
m,15,4,13.0,1
m,15,4,14.0,4
m,15,4,15.0,124
m,15,5,6.0,1
m,15,5,11.0,1
m,15,5,12.0,1
m,15,5,13.0,1
m,15,5,14.0,6
m,15,5,15.0,107
m,15,6,1.0,2
m,15,6,2.0,3
m,15,6,7.0,1
m,15,6,9.0,2
m,15,6,11.0,1
m,15,6,14.0,1
m,15,6,15.0,113
m,20,0,1.0,1
m,20,0,3.0,3
m,20,0,5.0,1
m,20,0,17.0,1
m,20,0,19.0,1
m,20,0,20.0,124
m,20,1,3.0,1
m,20,1,7.0,1
m,20,1,8.0,1
m,20,1,10.0,1
m,20,1,17.0,3
m,20,1,18.0,1
m,20,1,20.0,142
m,20,2,8.0,2
m,20,2,12.0,2
m,20,2,13.0,1
m,20,2,16.0,1
m,20,2,19.0,1
m,20,2,20.0,144
m,20,3,11.0,1
m,20,3,15.0,2
m,20,3,18.0,2
m,20,3,19.0,5
m,20,3,20.0,119
m,20,4,1.0,1
m,20,4,3.0,1
m,20,4,4.0,2
m,20,4,6.0,1
m,20,4,7.0,1
m,20,4,8.0,1
m,20,4,13.0,2
m,20,4,19.0,3
m,20,4,20.0,118
m,20,5,7.0,1
m,20,5,9.0,1
m,20,5,13.0,1
m,20,5,17.0,1
m,20,5,18.0,1
m,20,5,19.0,1
m,20,5,20.0,117
m,20,6,2.0,1
m,20,6,5.0,1
m,20,6,6.0,1
m,20,6,7.0,1
m,20,6,10.0,1
m,20,6,12.0,1
m,20,6,13.0,1
m,20,6,19.0,3
m,20,6,20.0,119
m,20,7,4.0,2
m,20,7,6.0,1
m,20,7,8.0,2
