type,sequence len,errors,corrects,0
m,10,0,2.0,2
m,10,0,9.0,2
m,10,0,10.0,114
m,10,1,9.0,1
m,10,1,10.0,140
m,10,2,3.0,1
m,10,2,5.0,2
m,10,2,9.0,1
m,10,2,10.0,139
m,10,3,2.0,1
m,10,3,4.0,2
m,10,3,5.0,1
m,10,3,9.0,7
m,10,3,10.0,126
m,10,4,2.0,1
m,10,4,3.0,2
m,10,4,4.0,1
m,10,4,6.0,1
m,10,4,9.0,7
m,10,4,10.0,106
m,15,0,2.0,1
m,15,0,4.0,1
m,15,0,5.0,1
m,15,0,8.0,1
m,15,0,10.0,1
m,15,0,14.0,1
m,15,0,15.0,118
m,15,1,6.0,1
m,15,1,14.0,1
m,15,1,15.0,134
m,15,2,3.0,1
m,15,2,4.0,2
m,15,2,5.0,1
m,15,2,7.0,1
m,15,2,9.0,2
m,15,2,13.0,1
m,15,2,14.0,4
m,15,2,15.0,117
m,15,3,6.0,1
m,15,3,13.0,1
m,15,3,14.0,3
m,15,3,15.0,109
m,15,4,3.0,1
m,15,4,4.0,1
m,15,4,5.0,1
m,15,4,8.0,1
m,15,4,9.0,1
m,15,4,10.0,1
m,15,4,14.0,2
m,15,4,15.0,119
m,15,5,3.0,1
m,15,5,4.0,1
m,15,5,6.0,1
m,15,5,7.0,1
m,15,5,8.0,2
m,15,5,10.0,1
m,15,5,12.0,1
m,15,5,13.0,1
m,15,5,14.0,2
m,15,5,15.0,112
m,15,6,4.0,2
m,15,6,5.0,2
m,15,6,7.0,1
m,15,6,8.0,3
m,15,6,11.0,1
m,15,6,13.0,2
m,15,6,14.0,1
m,15,6,15.0,115
m,20,0,6.0,1
m,20,0,8.0,1
m,20,0,13.0,1
m,20,0,20.0,131
m,20,1,14.0,1
m,20,1,15.0,1
m,20,1,19.0,1
m,20,1,20.0,127
m,20,2,6.0,1
m,20,2,9.0,1
m,20,2,14.0,1
m,20,2,15.0,1
m,20,2,17.0,2
m,20,2,19.0,1
m,20,2,20.0,115
m,20,3,3.0,1
m,20,3,6.0,1
m,20,3,7.0,1
m,20,3,11.0,1
m,20,3,12.0,1
m,20,3,13.0,1
m,20,3,16.0,1
m,20,3,17.0,1
m,20,3,19.0,2
m,20,3,20.0,116
m,20,4,2.0,1
m,20,4,7.0,1
m,20,4,9.0,1
m,20,4,13.0,2
m,20,4,15.0,2
m,20,4,17.0,1
m,20,4,18.0,1
m,20,4,20.0,109
m,20,5,5.0,2
