type,sequence len,errors,corrects,0
m,10,0,2.0,1
m,10,0,4.0,1
m,10,0,7.0,1
m,10,0,9.0,1
m,10,0,10.0,125
m,10,1,2.0,1
m,10,1,4.0,1
m,10,1,7.0,1
m,10,1,9.0,2
m,10,1,10.0,118
m,10,2,2.0,1
m,10,2,8.0,3
m,10,2,10.0,114
m,10,3,3.0,4
m,10,3,4.0,1
m,10,3,7.0,1
m,10,3,10.0,107
m,10,4,1.0,1
m,10,4,2.0,1
m,10,4,3.0,3
m,10,4,4.0,3
m,10,4,8.0,1
m,10,4,9.0,5
m,10,4,10.0,115
m,15,0,3.0,2
m,15,0,4.0,2
m,15,0,5.0,1
m,15,0,6.0,1
m,15,0,15.0,112
m,15,1,1.0,1
m,15,1,5.0,1
m,15,1,9.0,1
m,15,1,14.0,2
m,15,1,15.0,120
m,15,2,3.0,1
m,15,2,5.0,1
m,15,2,9.0,1
m,15,2,10.0,1
m,15,2,11.0,1
m,15,2,12.0,2
m,15,2,14.0,2
m,15,2,15.0,143
m,15,3,1.0,1
m,15,3,3.0,1
m,15,3,6.0,1
m,15,3,14.0,1
m,15,3,15.0,107
m,15,4,3.0,4
m,15,4,4.0,2
m,15,4,5.0,1
m,15,4,7.0,1
m,15,4,14.0,3
m,15,4,15.0,115
m,15,5,5.0,1
m,15,5,7.0,1
m,15,5,9.0,1
m,15,5,11.0,3
m,15,5,12.0,2
m,15,5,14.0,3
m,15,5,15.0,125
m,15,6,1.0,2
m,15,6,2.0,1
m,15,6,5.0,1
m,15,6,6.0,1
m,15,6,11.0,2
m,15,6,14.0,1
m,15,6,15.0,107
m,20,0,4.0,1
m,20,0,8.0,2
m,20,0,11.0,1
m,20,0,18.0,1
m,20,0,20.0,126
m,20,1,11.0,1
m,20,1,12.0,2
m,20,1,13.0,1
m,20,1,14.0,1
m,20,1,20.0,112
m,20,2,1.0,1
m,20,2,3.0,1
m,20,2,7.0,1
m,20,2,8.0,1
m,20,2,9.0,1
m,20,2,10.0,1
m,20,2,11.0,1
m,20,2,20.0,119
m,20,3,1.0,1
m,20,3,7.0,1
m,20,3,12.0,2
m,20,3,14.0,1
m,20,3,19.0,2
m,20,3,20.0,114
m,20,4,3.0,1
m,20,4,4.0,3
m,20,4,6.0,1
m,20,4,7.0,1
m,20,4,8.0,2
m,20,4,10.0,1
m,20,4,11.0,1
m,20,4,12.0,1
m,20,4,14.0,1
m,20,4,15.0,2
m,20,4,19.0,2
m,20,4,20.0,130
m,20,5,7.0,2
m,20,5,9.0,2
m,20,5,10.0,1
m,20,5,11.0,1
m,20,5,12.0,1
m,20,5,13.0,1
m,20,5,15.0,1
m,20,5,17.0,1
m,20,5,18.0,1
m,20,5,19.0,5
m,20,5,20.0,103
m,20,6,5.0,1
m,20,6,6.0,2
m,20,6,7.0,2
m,20,6,14.0,1
m,20,6,19.0,2
m,20,6,20.0,143
m,20,7,8.0,1
m,20,7,13.0,1
m,20,7,15.0,1
