type,sequence len,errors,corrects,0
m,10,0,3.0,1
m,10,0,8.0,1
m,10,0,10.0,133
m,10,1,1.0,3
m,10,1,3.0,1
m,10,1,4.0,1
m,10,1,5.0,1
m,10,1,7.0,1
m,10,1,8.0,1
m,10,1,9.0,2
m,10,1,10.0,129
m,10,2,1.0,1
m,10,2,2.0,2
m,10,2,5.0,1
m,10,2,8.0,1
m,10,2,9.0,5
m,10,2,10.0,122
m,10,3,3.0,1
m,10,3,8.0,1
m,10,3,9.0,4
m,10,3,10.0,108
m,10,4,2.0,3
m,10,4,3.0,3
m,10,4,4.0,1
m,10,4,5.0,1
m,10,4,6.0,1
m,10,4,8.0,1
m,10,4,9.0,2
m,10,4,10.0,103
m,15,0,3.0,2
m,15,0,7.0,1
m,15,0,11.0,1
m,15,0,15.0,130
m,15,1,1.0,3
m,15,1,7.0,2
m,15,1,8.0,1
m,15,1,11.0,1
m,15,1,12.0,1
m,15,1,13.0,1
m,15,1,14.0,1
m,15,1,15.0,125
m,15,2,2.0,1
m,15,2,8.0,1
m,15,2,12.0,2
m,15,2,14.0,2
m,15,2,15.0,140
m,15,3,2.0,1
m,15,3,3.0,1
m,15,3,4.0,1
m,15,3,9.0,2
m,15,3,12.0,1
m,15,3,13.0,1
m,15,3,14.0,3
m,15,3,15.0,109
m,15,4,1.0,1
m,15,4,3.0,1
m,15,4,5.0,1
m,15,4,6.0,2
m,15,4,10.0,1
m,15,4,12.0,1
m,15,4,14.0,5
m,15,4,15.0,117
m,15,5,1.0,1
m,15,5,3.0,2
m,15,5,4.0,1
m,15,5,6.0,1
m,15,5,7.0,1
m,15,5,11.0,1
m,15,5,12.0,1
m,15,5,13.0,1
m,15,5,14.0,4
m,15,5,15.0,120
m,15,6,2.0,1
m,15,6,12.0,1
m,15,6,13.0,3
m,15,6,14.0,5
m,15,6,15.0,87
m,20,0,1.0,1
m,20,0,12.0,1
m,20,0,13.0,1
m,20,0,14.0,1
m,20,0,20.0,107
m,20,1,3.0,2
m,20,1,4.0,1
m,20,1,7.0,1
m,20,1,11.0,1
m,20,1,15.0,2
m,20,1,16.0,1
m,20,1,19.0,1
m,20,1,20.0,129
m,20,2,13.0,1
m,20,2,18.0,1
m,20,2,20.0,120
m,20,3,4.0,1
m,20,3,6.0,1
m,20,3,7.0,1
m,20,3,9.0,2
m,20,3,19.0,1
m,20,3,20.0,114
m,20,4,5.0,1
m,20,4,6.0,1
m,20,4,7.0,1
m,20,4,9.0,1
m,20,4,12.0,1
m,20,4,14.0,1
m,20,4,15.0,1
m,20,4,16.0,2
m,20,4,18.0,1
m,20,4,19.0,4
m,20,4,20.0,117
m,20,5,9.0,2
m,20,5,11.0,1
m,20,5,12.0,2
m,20,5,15.0,1
m,20,5,17.0,1
m,20,5,19.0,3
m,20,5,20.0,122
m,20,6,2.0,1
m,20,6,5.0,1
m,20,6,6.0,1
m,20,6,7.0,1
m,20,6,15.0,1
m,20,6,16.0,1
m,20,6,17.0,4
m,20,6,18.0,1
m,20,6,20.0,111
m,20,7,2.0,1
m,20,7,5.0,1
m,20,7,9.0,2
m,20,7,11.0,1
m,20,7,12.0,1
m,20,7,14.0,1
m,20,7,15.0,1
m,20,7,16.0,1
m,20,7,18.0,2
m,20,7,19.0,3
m,20,7,20.0,128
m,20,8,1.0,1
m,20,8,2.0,1
m,20,8,4.0,1
m,20,8,5.0,1
m,20,8,8.0,1
m,20,8,9.0,1
m,20,8,16.0,1
m,20,8,17.0,1
m,20,8,18.0,1
