type,sequence len,errors,corrects,0
m,10,0,2.0,1
m,10,0,4.0,1
m,10,0,6.0,1
m,10,0,9.0,1
m,10,0,10.0,134
m,10,1,3.0,2
m,10,1,8.0,1
m,10,1,9.0,1
m,10,1,10.0,114
m,10,2,1.0,2
m,10,2,2.0,1
m,10,2,3.0,1
m,10,2,4.0,1
m,10,2,7.0,1
m,10,2,9.0,4
m,10,2,10.0,124
m,10,3,2.0,1
m,10,3,3.0,1
m,10,3,5.0,1
m,10,3,8.0,2
m,10,3,9.0,6
m,10,3,10.0,119
m,10,4,3.0,1
m,10,4,5.0,1
m,10,4,7.0,1
m,10,4,8.0,1
m,10,4,9.0,5
m,10,4,10.0,133
m,15,0,5.0,1
m,15,0,10.0,1
m,15,0,11.0,1
m,15,0,14.0,1
m,15,0,15.0,111
m,15,1,1.0,1
m,15,1,8.0,1
m,15,1,10.0,1
m,15,1,14.0,2
m,15,1,15.0,135
m,15,2,1.0,1
m,15,2,3.0,1
m,15,2,4.0,1
m,15,2,6.0,1
m,15,2,10.0,1
m,15,2,14.0,3
m,15,2,15.0,132
m,15,3,5.0,1
m,15,3,7.0,1
m,15,3,9.0,1
m,15,3,10.0,1
m,15,3,12.0,1
m,15,3,13.0,2
m,15,3,14.0,2
m,15,3,15.0,117
m,15,4,3.0,1
m,15,4,10.0,4
m,15,4,12.0,2
m,15,4,14.0,4
m,15,4,15.0,105
m,15,5,2.0,1
m,15,5,8.0,2
m,15,5,10.0,1
m,15,5,11.0,1
m,15,5,12.0,2
m,15,5,14.0,4
m,15,5,15.0,115
m,15,6,3.0,2
m,15,6,6.0,1
m,15,6,8.0,1
m,15,6,9.0,2
m,15,6,10.0,1
m,15,6,13.0,2
m,15,6,14.0,3
m,15,6,15.0,112
m,20,0,1.0,2
m,20,0,4.0,1
m,20,0,7.0,1
m,20,0,10.0,1
m,20,0,12.0,1
m,20,0,13.0,1
m,20,0,17.0,1
m,20,0,20.0,122
m,20,1,1.0,2
m,20,1,3.0,1
m,20,1,9.0,1
m,20,1,18.0,1
m,20,1,20.0,135
m,20,2,3.0,1
m,20,2,4.0,1
m,20,2,6.0,1
m,20,2,8.0,1
m,20,2,16.0,1
m,20,2,19.0,1
m,20,2,20.0,129
m,20,3,3.0,2
m,20,3,4.0,1
m,20,3,5.0,1
m,20,3,6.0,1
m,20,3,7.0,1
m,20,3,8.0,2
m,20,3,11.0,1
m,20,3,19.0,1
m,20,3,20.0,95
m,20,4,6.0,1
m,20,4,13.0,1
m,20,4,19.0,6
m,20,4,20.0,100
m,20,5,4.0,2
m,20,5,6.0,1
m,20,5,10.0,1
m,20,5,11.0,2
m,20,5,13.0,1
m,20,5,14.0,1
m,20,5,15.0,1
m,20,5,16.0,1
m,20,5,19.0,4
m,20,5,20.0,127
m,20,6,3.0,2
m,20,6,4.0,1
m,20,6,5.0,2
m,20,6,11.0,1
m,20,6,12.0,2
m,20,6,14.0,1
m,20,6,17.0,2
